Litter Type or Genus,Initial N,g Immobilized per g Weight loss,Critical N,Initial Lignin,A,B,Ash
Cornus,0.0068,0.0251,0.0183,0.039,0.5217,0.336,0.9
Acer$/$Fraxinus$/$Tilia,0.0076,0.0315,0.0239,0.121,0.5219,0.4,0.9
Prunus,0.0109,0.0574,0.0465,0.193,0.7787,0.508,0.92
Betula,0.0106,0.0377,0.0271,0.158,0.6693,0.435,0.92
Quercus alba,0.0079,0.0256,0.0177,0.187,0.5194,0.315,0.93
Tsuga$/$Thuja,0.0081,0.0286,0.0205,0.206,0.6839,0.475,0.96
Populus,0.0085,0.0336,0.0251,0.214,0.7059,0.46,0.94
Fagus,0.0057,0.0477,0.042,0.241,1.1967,0.79,0.91
Quercus rubra,0.009,0.0341,0.0251,0.248,0.6105,0.359,0.95
Abies,0.0056,0.0326,0.027,0.28,0.5926,0.383,0.97
Picea,0.0063,0.022,0.0157,0.216,0.9052,0.594,0.97
Pinus,0.0046,0.0163,0.0117,0.283,0.5646,0.327,0.96
Roots,0.0096,0.0284,0.0188,0.253,0.7,0.456,0.98
Fresh wood,0.0038,0.0195,0.0157,0.173,0.4831,0.299,0.99
Twigs,0.0038,0.0195,0.0157,0.173,0.4831,0.299,0.96
Well$-$decayed wood,0.005,0.0364,0.0314,0.423,0.7222,0.299,0.99
Moss,0.0046,0.0215,0.0072,0,0,0,0.97